-0.0107,0.0011,0.0019,0.79,0.11,0.13,0.10,0.66,0.14,0.12,0.11
-0.0667,-0.0366,-0.5672,1.18,0.11,0.29,0.10,0.99,0.13,0.10,0.11
-0.0623,-0.0042,-1.0043,1.50,0.11,0.43,0.10,1.22,0.17,0.11,0.11
-0.0679,0.0083,-1.5022,1.76,0.11,0.59,0.10,1.43,0.17,0.10,0.10
-0.0746,0.0193,-2.0545,1.90,0.11,0.83,0.10,1.51,0.30,0.10,0.10
-0.0215,0.0038,-2.5156,1.95,0.11,1.07,0.10,1.52,0.43,0.11,0.11
-0.0727,0.0037,-3.0021,1.96,0.11,1.23,0.10,1.58,0.38,0.10,0.10
-0.0663,-0.0002,-3.5297,1.96,0.15,1.42,0.10,1.62,0.41,0.10,0.11
-0.0713,-0.0134,-4.0065,1.93,0.22,1.55,0.09,1.67,0.39,0.10,0.10
-0.0137,-0.0298,-4.5621,1.89,0.34,1.72,0.10,1.73,0.40,0.10,0.11
-0.0308,-0.0496,-5.0735,1.87,0.38,1.86,0.10,1.79,0.34,0.10,0.10
0.0022,0.0002,-4.5844,1.90,0.34,1.69,0.10,1.73,0.39,0.10,0.10
0.0119,0.0580,-4.0301,1.95,0.30,1.50,0.10,1.66,0.43,0.10,0.11
0.0031,0.0101,-3.5789,1.95,0.23,1.40,0.10,1.63,0.44,0.10,0.11
0.0124,0.0056,-3.0806,1.96,0.19,1.26,0.10,1.58,0.46,0.10,0.10
0.0310,0.0139,-2.5363,1.96,0.13,1.10,0.10,1.50,0.50,0.10,0.10
-0.0375,0.0507,-2.1028,1.92,0.11,0.87,0.10,1.47,0.38,0.10,0.10
0.0179,0.0604,-1.5390,1.86,0.11,0.67,0.10,1.39,0.38,0.10,0.10
0.0291,0.0310,-1.1107,1.78,0.11,0.55,0.10,1.34,0.38,0.10,0.10
0.0280,0.0224,-1.0274,1.72,0.11,0.51,0.10,1.30,0.36,0.10,0.10
0.0309,-0.0210,-0.5249,1.52,0.11,0.36,0.09,1.19,0.32,0.11,0.10
0.0008,-0.0061,0.0096,0.77,0.11,0.12,0.10,0.64,0.15,0.10,0.10
