0.0116,-0.0028,-0.0008,0.56,0.11,0.33,0.09,0.48,0.11,0.32,0.10
0.0277,-0.5317,-0.0883,0.36,0.11,0.66,0.09,0.65,0.14,0.26,0.10
0.0371,-1.0618,-0.1071,0.22,0.11,1.08,0.23,0.86,0.32,0.31,0.10
0.0547,-1.4952,-0.0871,0.21,0.11,1.46,0.34,1.14,0.43,0.41,0.10
0.0729,-2.0568,-0.1445,0.27,0.11,1.80,0.42,1.58,0.49,0.35,0.10
0.1186,-2.5530,-0.0856,0.29,0.11,2.08,0.51,1.97,0.56,0.31,0.10
0.0410,-2.5317,-0.0901,0.27,0.11,2.08,0.54,1.97,0.55,0.35,0.10
0.0405,-3.0834,-0.0926,0.30,0.11,2.43,0.69,2.40,0.68,0.31,0.10
0.0561,-2.5292,-0.1022,0.27,0.11,2.20,0.62,1.98,0.65,0.42,0.10
0.0366,-2.0032,-0.0863,0.23,0.11,1.95,0.58,1.60,0.60,0.54,0.10
0.0691,-1.5039,-0.0407,0.21,0.11,1.75,0.52,1.23,0.58,0.65,0.10
0.1002,-1.1048,0.0240,0.19,0.11,1.57,0.48,0.94,0.54,0.76,0.10
0.0480,-0.5836,0.0133,0.17,0.11,1.37,0.42,0.57,0.49,0.91,0.11
-0.0065,-0.0423,0.0212,0.15,0.11,1.15,0.36,0.21,0.36,1.08,0.10
