-0.0002,-0.0122,0.0140,0.53,0.11,0.50,0.13,0.46,0.10,0.54,0.10
-0.0649,-0.0386,-0.5112,0.47,0.11,0.65,0.13,0.46,0.10,0.48,0.10
-0.0830,-0.0557,-1.0731,0.49,0.11,0.78,0.09,0.49,0.12,0.37,0.10
-0.0795,-0.1026,-1.5447,0.51,0.11,0.96,0.09,0.52,0.19,0.32,0.10
-0.0783,-0.0546,-1.5191,0.53,0.11,0.94,0.09,0.48,0.22,0.32,0.10
-0.0334,0.0337,-2.0275,0.58,0.11,1.07,0.09,0.42,0.37,0.25,0.10
-0.0126,-0.0328,-2.5299,0.57,0.11,1.26,0.09,0.46,0.41,0.19,0.10
-0.0055,-0.0725,-3.0097,0.59,0.11,1.46,0.10,0.48,0.51,0.14,0.10
-0.0897,-0.0252,-3.5396,0.57,0.11,1.59,0.09,0.47,0.51,0.11,0.10
-0.0659,0.0170,-4.0895,0.61,0.11,1.80,0.09,0.47,0.58,0.10,0.10
0.0219,0.0021,-4.5062,0.65,0.11,2.06,0.09,0.44,0.79,0.10,0.10
-0.0138,-0.0496,-5.0058,0.66,0.11,2.29,0.09,0.52,0.80,0.10,0.10
0.0159,0.0132,-4.4503,0.67,0.11,2.05,0.09,0.44,0.80,0.10,0.11
0.0271,0.0522,-4.1050,0.66,0.11,1.86,0.10,0.41,0.75,0.10,0.10
0.0301,0.0804,-3.5553,0.63,0.11,1.61,0.10,0.37,0.67,0.10,0.10
0.0135,0.0722,-3.1122,0.60,0.11,1.43,0.09,0.34,0.63,0.10,0.10
-0.0088,0.0053,-3.0766,0.57,0.11,1.43,0.09,0.40,0.56,0.10,0.10
0.0077,0.0394,-2.5651,0.56,0.11,1.23,0.09,0.35,0.53,0.13,0.10
0.0420,0.0634,-2.0623,0.55,0.11,1.07,0.09,0.31,0.51,0.18,0.10
0.0593,0.0303,-1.5461,0.52,0.11,0.94,0.09,0.31,0.46,0.23,0.10
0.0657,0.0498,-1.0986,0.51,0.11,0.81,0.09,0.29,0.38,0.31,0.11
0.0119,0.0282,-0.6005,0.48,0.11,0.67,0.09,0.34,0.22,0.41,0.10
-0.0019,0.0076,0.0156,0.45,0.11,0.52,0.09,0.35,0.12,0.51,0.11
