-0.0088,0.0056,-0.0020,0.62,0.12,0.50,0.46,0.63,0.46,0.44,0.12
0.5097,0.0349,-0.0430,0.89,0.12,0.77,0.17,0.43,0.97,0.32,0.11
1.0258,0.0469,-0.0722,1.26,0.12,1.13,0.12,0.34,1.67,0.32,0.11
1.4861,0.0499,-0.0172,1.55,0.12,1.51,0.13,0.23,2.37,0.39,0.12
2.0023,0.0326,-0.0417,1.63,0.37,1.72,0.12,0.18,2.88,0.46,0.12
2.5551,0.0149,-0.0094,1.56,0.76,1.79,0.12,0.11,3.18,0.50,0.11
3.0085,-0.0122,-0.0539,1.53,1.08,1.82,0.12,0.11,3.20,0.48,0.12
2.5250,-0.0228,0.0540,1.51,0.76,1.75,0.12,0.11,3.18,0.48,0.12
2.0511,-0.0263,-0.0086,1.51,0.47,1.71,0.12,0.17,2.89,0.46,0.12
1.5447,-0.0146,-0.0334,1.57,0.19,1.65,0.12,0.30,2.41,0.50,0.11
1.0391,0.0136,-0.0689,1.43,0.12,1.48,0.12,0.47,1.72,0.63,0.12
0.5689,0.0271,0.0262,1.24,0.12,1.29,0.12,0.65,1.03,0.81,0.12
-0.0108,0.0027,0.0005,0.87,0.12,0.94,0.43,0.83,0.45,0.85,0.12
