-0.0095,0.0071,-0.0125,0.42,0.12,0.25,0.48,0.46,0.45,0.24,0.12
0.0027,-0.0202,0.5364,0.41,0.12,0.21,0.39,0.42,0.39,0.36,0.12
-0.0100,0.0053,1.0024,0.42,0.12,0.16,0.37,0.41,0.36,0.50,0.12
-0.0355,0.0671,1.5465,0.46,0.12,0.14,0.34,0.42,0.28,0.73,0.12
-0.0672,0.0249,2.0527,0.47,0.12,0.12,0.36,0.46,0.24,0.90,0.12
-0.0233,-0.0408,2.5313,0.49,0.12,0.15,0.33,0.47,0.28,1.01,0.12
-0.0450,0.0258,2.9844,0.49,0.12,0.12,0.35,0.42,0.29,1.20,0.12
-0.0257,0.0177,3.5053,0.51,0.12,0.12,0.34,0.41,0.31,1.36,0.11
-0.0305,0.0224,4.0376,0.51,0.12,0.11,0.35,0.40,0.31,1.55,0.11
-0.0186,0.0305,4.5565,0.52,0.12,0.10,0.36,0.37,0.32,1.72,0.11
-0.0160,-0.0248,5.0729,0.52,0.12,0.11,0.35,0.39,0.33,1.86,0.12
-0.0195,0.0483,4.5825,0.52,0.12,0.11,0.36,0.37,0.34,1.74,0.12
-0.0194,-0.0334,4.0429,0.51,0.12,0.13,0.35,0.43,0.32,1.52,0.11
-0.0324,0.0350,3.5509,0.51,0.12,0.15,0.36,0.42,0.30,1.41,0.12
-0.0314,-0.0216,3.0795,0.51,0.12,0.17,0.34,0.46,0.30,1.22,0.12
-0.0343,-0.0699,2.4220,0.50,0.12,0.20,0.34,0.51,0.29,1.00,0.12
-0.0056,0.0144,2.0120,0.51,0.12,0.22,0.32,0.45,0.32,0.90,0.11
0.0268,-0.0732,1.5769,0.52,0.12,0.26,0.30,0.51,0.33,0.71,0.12
0.0316,0.0483,1.0371,0.53,0.12,0.28,0.30,0.45,0.35,0.63,0.12
0.0340,-0.0167,0.5497,0.51,0.12,0.32,0.31,0.48,0.38,0.44,0.12
-0.0105,0.0078,-0.0048,0.49,0.12,0.36,0.36,0.50,0.35,0.34,0.12
