-0.0031,0.0004,-0.0039,0.66,0.12,0.64,0.49,0.66,0.49,0.57,0.12
-0.0582,0.5687,-0.0383,0.80,0.12,0.51,0.52,0.45,0.42,0.84,0.12
-0.0876,1.0281,-0.0527,0.97,0.12,0.42,0.59,0.31,0.45,1.06,0.12
-0.0910,1.5234,0.0010,1.22,0.12,0.39,0.69,0.19,0.55,1.36,0.12
-0.0781,2.0250,-0.0317,1.50,0.12,0.38,0.81,0.11,0.66,1.66,0.12
-0.0825,2.4991,0.0588,1.86,0.12,0.41,0.88,0.11,0.74,2.00,0.12
-0.0912,3.0262,0.0040,2.21,0.12,0.44,0.96,0.11,0.78,2.35,0.12
-0.0581,2.5014,-0.0031,1.86,0.12,0.42,0.92,0.11,0.81,1.98,0.11
-0.0582,2.0739,-0.0287,1.54,0.12,0.38,0.91,0.11,0.80,1.67,0.12
-0.0515,1.5612,0.0016,1.33,0.12,0.36,0.88,0.25,0.79,1.35,0.12
-0.0217,1.0317,-0.0441,1.21,0.12,0.38,0.83,0.47,0.77,1.00,0.11
-0.0044,0.5965,-0.0097,1.05,0.12,0.39,0.76,0.60,0.74,0.73,0.12
-0.0043,0.0036,-0.0019,0.76,0.12,0.42,0.68,0.76,0.65,0.39,0.12
