-0.0067,0.0293,-0.0035,0.17,0.12,0.27,0.12,0.16,0.13,0.28,0.12
0.0297,-0.0113,0.6398,0.12,0.12,0.38,0.12,0.12,0.14,0.15,0.12
0.0284,-0.0313,1.0390,0.12,0.12,0.54,0.12,0.14,0.14,0.16,0.12
0.0421,-0.0227,1.5608,0.12,0.12,0.75,0.12,0.18,0.14,0.16,0.12
0.0448,0.0064,1.9381,0.12,0.12,0.93,0.12,0.22,0.13,0.18,0.12
0.0534,0.0175,2.5223,0.11,0.12,1.16,0.12,0.28,0.12,0.19,0.12
0.0435,0.0067,3.0664,0.12,0.12,1.34,0.12,0.30,0.12,0.16,0.14
0.0359,0.0022,3.5413,0.12,0.12,1.52,0.12,0.32,0.12,0.15,0.16
0.0478,0.0025,4.0709,0.12,0.12,1.74,0.12,0.34,0.12,0.14,0.18
0.0588,-0.0130,4.5054,0.12,0.12,1.90,0.12,0.36,0.12,0.14,0.18
0.0718,-0.0229,5.0133,0.12,0.13,2.08,0.12,0.39,0.12,0.13,0.20
0.0719,-0.0558,4.5441,0.12,0.14,1.86,0.12,0.35,0.12,0.14,0.18
0.0695,-0.0914,4.0487,0.11,0.15,1.65,0.12,0.30,0.12,0.14,0.17
0.0310,0.0450,3.5292,0.12,0.12,1.56,0.12,0.32,0.12,0.14,0.19
0.0289,0.0227,3.0213,0.12,0.12,1.35,0.12,0.28,0.12,0.14,0.18
0.0281,0.0230,2.5077,0.12,0.12,1.15,0.12,0.25,0.12,0.14,0.17
0.0378,-0.0015,2.0565,0.12,0.13,0.95,0.12,0.23,0.12,0.18,0.13
0.0621,0.0046,1.4800,0.12,0.16,0.73,0.12,0.21,0.12,0.18,0.12
0.0651,0.0309,0.9950,0.12,0.17,0.56,0.12,0.20,0.14,0.18,0.12
0.0604,0.0466,0.5193,0.12,0.16,0.42,0.12,0.15,0.18,0.20,0.12
-0.0058,0.0321,-0.0144,0.14,0.12,0.19,0.12,0.13,0.12,0.19,0.12
