-0.0049,0.0151,0.0085,0.20,0.12,0.28,0.12,0.19,0.12,0.29,0.12
-0.0651,0.5181,-0.0364,0.14,0.12,0.58,0.12,0.39,0.12,0.24,0.21
-0.0350,1.0398,-0.0482,0.18,0.12,0.88,0.12,0.73,0.12,0.22,0.21
-0.0440,1.5384,-0.0368,0.21,0.12,1.21,0.12,1.03,0.12,0.21,0.26
-0.0696,2.0309,0.0263,0.25,0.12,1.57,0.12,1.31,0.12,0.23,0.33
-0.0311,2.5578,0.0279,0.29,0.12,1.93,0.12,1.66,0.12,0.28,0.34
-0.0610,2.9983,0.0664,0.33,0.12,2.23,0.12,1.90,0.12,0.27,0.41
-0.0489,2.5489,0.0186,0.39,0.12,1.93,0.12,1.72,0.12,0.28,0.36
-0.0471,2.0665,-0.0117,0.46,0.12,1.60,0.12,1.52,0.12,0.26,0.34
-0.0453,1.6982,-0.0504,0.52,0.12,1.32,0.12,1.38,0.12,0.23,0.31
-0.0418,1.5659,-0.0685,0.52,0.12,1.24,0.12,1.31,0.12,0.24,0.27
-0.0171,1.0858,-0.0762,0.55,0.12,0.93,0.12,1.09,0.12,0.26,0.22
0.0050,0.5145,-0.0478,0.55,0.12,0.68,0.12,0.80,0.12,0.39,0.15
-0.0050,0.0178,0.0055,0.29,0.12,0.34,0.12,0.27,0.13,0.35,0.13
