0.0045,0.0136,-0.0032,0.80,0.24,0.98,0.11,0.83,0.11,1.04,0.12
-0.0888,0.5425,-0.0533,0.49,0.13,1.30,0.11,0.79,0.11,1.00,0.14
-0.0750,0.9914,-0.0377,0.25,0.23,1.61,0.11,0.84,0.11,1.03,0.22
-0.0739,1.5223,-0.0336,0.10,0.32,2.10,0.11,1.02,0.11,1.17,0.32
-0.0654,2.0551,-0.0281,0.10,0.20,2.63,0.11,1.29,0.15,1.35,0.23
-0.0550,2.5229,0.0523,0.11,0.11,3.13,0.11,1.45,0.29,1.39,0.30
-0.0476,3.0182,0.0356,0.11,0.11,3.17,0.11,1.63,0.42,1.43,0.42
-0.0655,2.5785,-0.0101,0.10,0.11,3.15,0.11,1.45,0.31,1.40,0.32
-0.0568,2.1086,-0.0459,0.10,0.11,2.74,0.11,1.28,0.21,1.36,0.21
-0.0448,2.0440,-0.0532,0.11,0.11,2.68,0.11,1.26,0.20,1.34,0.18
-0.0071,1.4978,-0.0239,0.10,0.30,2.15,0.11,1.06,0.11,1.25,0.21
-0.0178,1.0029,-0.0671,0.24,0.37,1.69,0.11,0.91,0.11,1.13,0.24
-0.0452,0.5446,-0.0532,0.52,0.24,1.38,0.11,0.87,0.11,1.08,0.16
-0.0036,0.0223,-0.0055,0.77,0.20,0.99,0.11,0.80,0.11,1.04,0.11
