-0.0069,0.0167,-0.0108,0.79,0.21,0.99,0.11,0.82,0.11,1.04,0.11
-0.0071,0.0034,-0.0141,0.80,0.21,0.97,0.11,0.82,0.11,1.03,0.11
-0.0162,-0.5008,-0.0655,1.22,0.23,0.64,0.11,0.87,0.11,1.08,0.11
-0.0156,-0.9993,-0.0858,1.58,0.49,0.47,0.11,0.89,0.11,1.25,0.40
-0.0261,-1.5026,-0.0336,1.89,0.86,0.28,0.11,0.87,0.11,1.39,0.73
-0.0252,-2.0482,-0.0724,2.26,1.20,0.11,0.10,0.85,0.11,1.59,1.11
-0.0476,-2.4749,-0.0927,2.63,1.39,0.11,0.11,0.93,0.11,1.87,1.30
-0.0395,-2.9778,-0.0421,3.08,1.60,0.11,0.11,1.05,0.11,2.21,1.47
-0.0017,-2.5590,-0.0228,2.69,1.56,0.11,0.11,0.96,0.11,1.94,1.41
0.0002,-2.0743,-0.0697,2.22,1.51,0.11,0.11,0.83,0.11,1.64,1.34
0.0284,-1.5379,-0.0118,1.64,1.46,0.11,0.11,0.65,0.11,1.27,1.25
-0.0236,-1.0820,0.0005,1.27,1.32,0.30,0.11,0.55,0.11,1.10,1.23
-0.0332,-0.5201,-0.0675,0.91,1.11,0.63,0.11,0.59,0.11,1.07,0.99
-0.0074,0.0260,-0.0071,0.60,0.65,0.90,0.11,0.64,0.11,0.95,0.53
