-0.0035,0.0048,0.0038,1.16,0.11,1.40,0.11,1.06,0.26,1.32,0.11
-0.0343,-0.5039,-0.0783,1.41,0.23,1.11,0.11,1.11,0.11,1.52,0.11
0.0004,-0.9918,-0.0739,1.63,0.53,0.92,0.11,1.02,0.11,1.65,0.41
-0.0225,-1.5044,-0.0543,1.79,1.10,0.63,0.11,0.83,0.11,1.67,1.01
-0.0224,-1.9664,-0.0815,1.98,1.53,0.42,0.10,0.71,0.11,1.76,1.46
-0.0191,-2.5322,-0.0581,2.26,2.00,0.19,0.10,0.60,0.11,1.88,1.95
-0.0482,-2.9988,-0.0758,2.55,2.29,0.11,0.11,0.56,0.11,2.08,2.29
-0.0269,-2.5370,-0.0388,2.20,2.20,0.17,0.10,0.53,0.11,1.86,2.15
0.0036,-2.0826,0.0095,1.93,2.07,0.40,0.11,0.60,0.11,1.80,1.95
0.0255,-1.6298,0.0261,1.70,1.83,0.63,0.10,0.70,0.11,1.76,1.64
0.0310,-1.5158,0.0225,1.65,1.77,0.69,0.11,0.73,0.11,1.75,1.57
0.0584,-1.0304,0.0350,1.44,1.38,0.94,0.11,0.86,0.11,1.69,1.14
0.0429,-0.5377,0.0274,1.25,0.93,1.23,0.11,0.98,0.11,1.64,0.72
-0.0069,0.0052,0.0014,1.04,0.39,1.54,0.11,1.13,0.11,1.59,0.21
-0.0081,0.0049,0.0006,1.05,0.38,1.55,0.11,1.13,0.11,1.60,0.20
