-0.0077,0.0388,-0.0174,0.58,0.17,0.73,0.11,0.61,0.11,0.76,0.11
-0.0242,0.0604,0.5415,0.52,0.18,0.91,0.11,0.60,0.11,0.72,0.11
-0.0557,0.0236,1.0029,0.52,0.15,1.05,0.11,0.58,0.11,0.69,0.11
-0.0485,0.0730,1.5446,0.43,0.17,1.25,0.10,0.57,0.11,0.66,0.11
-0.0548,0.0053,2.0566,0.42,0.18,1.36,0.11,0.55,0.11,0.63,0.11
-0.0527,0.0051,2.5761,0.38,0.19,1.53,0.11,0.55,0.11,0.63,0.11
-0.0755,0.0617,3.0309,0.33,0.18,1.71,0.11,0.55,0.11,0.60,0.11
-0.0604,0.0451,3.5411,0.31,0.21,1.85,0.11,0.56,0.11,0.58,0.11
-0.0581,0.0471,3.9389,0.29,0.24,1.96,0.11,0.58,0.11,0.57,0.10
-0.0576,0.0615,4.4700,0.26,0.26,2.16,0.11,0.59,0.11,0.56,0.10
-0.0570,0.0696,5.0401,0.23,0.28,2.36,0.11,0.61,0.11,0.55,0.11
-0.0387,0.0099,4.4859,0.29,0.28,2.13,0.11,0.60,0.11,0.57,0.10
-0.0258,-0.0410,4.0683,0.34,0.29,1.96,0.11,0.60,0.11,0.58,0.10
-0.0249,-0.0341,3.4753,0.37,0.26,1.77,0.11,0.58,0.11,0.59,0.11
-0.0197,0.0050,2.9417,0.39,0.25,1.62,0.11,0.59,0.11,0.62,0.11
-0.0126,-0.0558,2.4488,0.45,0.23,1.42,0.11,0.58,0.11,0.63,0.11
-0.0203,0.0197,1.9874,0.44,0.21,1.33,0.11,0.57,0.11,0.65,0.11
0.0093,0.0027,1.5883,0.44,0.25,1.18,0.11,0.57,0.11,0.67,0.11
0.0116,0.0127,0.9190,0.49,0.24,0.99,0.11,0.59,0.11,0.72,0.11
-0.0012,-0.0251,0.5193,0.58,0.21,0.86,0.11,0.61,0.11,0.75,0.11
-0.0094,0.0407,-0.0223,0.59,0.18,0.75,0.11,0.62,0.11,0.78,0.11
