-0.0153,-0.0208,-0.5290,0.85,0.52,0.76,0.07,0.88,0.11,0.39,0.48
-0.0139,-0.0458,-1.0436,0.83,0.54,0.88,0.07,0.94,0.11,0.34,0.44
-0.0471,-0.0034,-1.5150,0.85,0.55,0.99,0.07,0.96,0.11,0.31,0.42
-0.0590,-0.0563,-2.1224,0.79,0.60,1.15,0.07,1.06,0.11,0.27,0.35
-0.0742,-0.0288,-2.6478,0.77,0.62,1.27,0.11,1.11,0.11,0.25,0.31
-0.0528,-0.0979,-3.1102,0.71,0.67,1.41,0.11,1.21,0.11,0.21,0.24
-0.0722,-0.0975,-3.5583,0.68,0.72,1.53,0.13,1.27,0.11,0.21,0.21
-0.0437,-0.1420,-4.0284,0.63,0.79,1.67,0.12,1.36,0.11,0.18,0.16
-0.1069,-0.0624,-4.6114,0.62,0.84,1.79,0.14,1.40,0.11,0.17,0.14
-0.0459,0.0223,-5.1074,0.62,0.91,1.86,0.14,1.41,0.11,0.16,0.11
0.0009,0.0455,-4.4490,0.66,0.88,1.67,0.10,1.34,0.11,0.20,0.13
-0.0704,0.1006,-4.0496,0.70,0.82,1.55,0.11,1.26,0.11,0.22,0.18
-0.0290,0.1019,-3.6365,0.73,0.78,1.45,0.10,1.21,0.11,0.23,0.21
-0.0427,0.0529,-3.0449,0.76,0.72,1.32,0.08,1.17,0.11,0.26,0.25
-0.0272,0.0653,-2.4975,0.79,0.68,1.19,0.07,1.10,0.11,0.30,0.28
0.0101,0.0441,-2.0111,0.80,0.67,1.07,0.07,1.06,0.11,0.33,0.31
0.0044,0.0350,-1.6750,0.82,0.63,1.00,0.07,1.01,0.11,0.33,0.36
0.0121,0.0396,-0.9275,0.85,0.58,0.83,0.07,0.93,0.11,0.40,0.42
-0.0084,0.0705,-0.6003,0.87,0.55,0.75,0.07,0.88,0.11,0.43,0.46
-0.0032,0.0206,-0.0226,0.86,0.51,0.67,0.07,0.85,0.11,0.49,0.50
