0.0026,0.0066,-0.0031,0.86,0.63,0.65,0.07,0.88,0.11,0.46,0.62
0.0177,-0.4966,-0.0870,0.69,0.56,0.92,0.07,1.14,0.11,0.33,0.53
0.0128,-0.9926,-0.0929,0.56,0.52,1.18,0.07,1.40,0.11,0.23,0.48
0.1354,-1.5157,-0.0854,0.49,0.57,1.43,0.07,1.78,0.11,0.19,0.39
0.0115,-1.9896,-0.1085,0.57,0.49,1.80,0.09,2.10,0.11,0.14,0.48
0.0434,-2.5011,-0.0472,0.58,0.54,2.07,0.11,2.51,0.11,0.12,0.46
0.0505,-3.0249,-0.0940,0.57,0.59,2.37,0.12,2.94,0.11,0.09,0.43
0.0857,-2.5725,-0.0462,0.63,0.59,2.11,0.10,2.64,0.11,0.15,0.44
0.1006,-2.0905,-0.0249,0.72,0.62,1.82,0.07,2.35,0.11,0.20,0.44
0.0863,-1.5793,0.0277,0.84,0.63,1.50,0.07,2.06,0.11,0.27,0.47
0.0527,-1.0812,0.0599,0.98,0.62,1.26,0.09,1.78,0.11,0.39,0.52
-0.0064,-0.5476,-0.0157,1.07,0.62,1.03,0.12,1.47,0.11,0.50,0.55
-0.0004,-0.0046,0.0226,1.13,0.63,0.83,0.11,1.12,0.11,0.69,0.57
