0.0012,0.5243,0.0181,1.11,0.57,0.66,0.07,0.69,0.11,0.83,0.58
-0.0251,0.9972,0.0313,1.29,0.60,0.63,0.07,0.49,0.11,1.06,0.66
-0.0570,1.5101,0.0661,1.47,0.65,0.59,0.07,0.30,0.11,1.34,0.75
-0.0699,1.9763,-0.0070,1.67,0.71,0.56,0.07,0.15,0.11,1.55,0.85
-0.1493,2.5307,0.0258,2.06,0.78,0.55,0.07,0.11,0.11,1.86,0.98
-0.0397,3.0321,0.0326,2.31,0.97,0.46,0.07,0.11,0.11,2.13,1.04
-0.0557,2.5485,-0.0159,1.95,0.94,0.44,0.07,0.12,0.11,1.81,1.00
-0.0776,2.0696,-0.0563,1.67,0.88,0.43,0.07,0.18,0.11,1.49,0.96
-0.0640,1.5378,-0.0540,1.47,0.79,0.47,0.07,0.33,0.11,1.19,0.88
-0.0529,1.0613,-0.0703,1.28,0.74,0.51,0.07,0.49,0.11,0.94,0.80
-0.0440,0.5335,-0.0812,1.07,0.68,0.58,0.07,0.67,0.11,0.67,0.72
0.0060,0.0301,-0.0045,0.87,0.64,0.64,0.07,0.88,0.11,0.47,0.63
