-0.0067,-0.0083,-0.0118,0.97,0.46,0.96,0.07,0.97,0.11,0.77,0.44
0.5083,0.0109,-0.0433,0.73,0.92,0.81,0.07,1.16,0.11,1.00,0.13
1.0012,0.0207,-0.0610,0.44,1.67,0.72,0.07,1.32,0.11,1.26,0.11
1.5019,0.0371,-0.0490,0.33,2.14,0.77,0.07,1.36,0.34,1.42,0.11
2.0023,0.0476,-0.0034,0.30,2.49,0.86,0.07,1.33,0.71,1.50,0.11
2.5021,0.0160,-0.0466,0.26,2.84,0.99,0.07,1.33,1.09,1.56,0.11
3.0305,0.0506,-0.0629,0.23,3.14,1.10,0.07,1.30,1.48,1.67,0.11
2.5639,0.0128,0.0212,0.25,2.90,1.03,0.07,1.33,1.16,1.63,0.11
1.9827,-0.0382,0.0130,0.26,2.51,0.95,0.07,1.37,0.72,1.55,0.11
1.5721,-0.0569,-0.0919,0.29,2.19,0.91,0.07,1.40,0.39,1.48,0.11
1.0891,-0.0064,0.0528,0.39,1.80,0.84,0.07,1.36,0.11,1.46,0.11
0.5177,-0.0451,-0.0408,0.70,0.96,0.97,0.07,1.18,0.11,1.12,0.15
0.0081,-0.0261,0.0355,0.94,0.46,1.00,0.07,0.98,0.11,0.82,0.42
